[Name]
Series1Cp at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-2.12214661e+00, -1.89121738e-02
-2.13958454e+00, -2.45179050e-02
-2.15201926e+00, -2.53832582e-02
-2.16480851e+00, -2.22293045e-02
-2.18119812e+00, -2.22564861e-02
-2.19334006e+00, -2.38553714e-02
-2.20604372e+00, -2.56656297e-02
-2.22224212e+00, -2.57215574e-02
-2.23582244e+00, -2.91423704e-02
-2.24051619e+00, -3.05804014e-02
-2.24537206e+00, -3.16944271e-02
-2.26091242e+00, -3.03294472e-02
-2.27165079e+00, -3.24450023e-02
-2.28810072e+00, -3.80605981e-02
-2.29925513e+00, -4.05414999e-02
-2.31610131e+00, -4.43232730e-02
-2.32732844e+00, -4.98750955e-02
-2.33893228e+00, -6.41898960e-02
-2.35133910e+00, -6.44556955e-02
-2.35563040e+00, -7.73871616e-02
-2.35987449e+00, -9.59265977e-02
-2.37219453e+00, -8.17417502e-02
-2.38070202e+00, -7.44053125e-02
-2.39296317e+00, -7.35297948e-02
-2.40141439e+00, -7.80674890e-02
-2.41362238e+00, -8.13760906e-02
-2.42200422e+00, -7.69874454e-02
-2.43412304e+00, -7.34804124e-02
-2.44244456e+00, -7.53518865e-02
-2.45442653e+00, -7.56245553e-02
-2.46269512e+00, -7.36105144e-02
-2.47452712e+00, -7.13232160e-02
-2.48271203e+00, -7.00087249e-02
-2.49440479e+00, -6.83775395e-02
-2.50247979e+00, -6.73460066e-02
-2.51405644e+00, -6.60124496e-02
-2.52200007e+00, -6.51531741e-02
-2.53346825e+00, -6.39607683e-02
-2.54126263e+00, -6.31584674e-02
-2.55264068e+00, -6.20687306e-02
-2.56026840e+00, -6.13602437e-02
-2.57157803e+00, -6.03285059e-02
-2.57901955e+00, -5.96228801e-02
-2.59025764e+00, -5.85820973e-02
-2.59752989e+00, -5.79613112e-02
-2.60868526e+00, -5.70080690e-02
-2.61581230e+00, -5.63497655e-02
-2.62686253e+00, -5.53705283e-02
-2.63387871e+00, -5.47889769e-02
-2.64482450e+00, -5.38663343e-02
-2.65175056e+00, -5.32179326e-02
-2.66260982e+00, -5.23092449e-02
-2.66944051e+00, -5.16215600e-02
-2.68029857e+00, -5.02478741e-02
-2.68686533e+00, -4.90179993e-02
-2.69798136e+00, -4.80937138e-02
-2.69923759e+00, -4.80375737e-02
-2.70394111e+00, -4.78938445e-02
-2.71389318e+00, -4.91171181e-02
-2.72158384e+00, -4.75158840e-02
-2.72937727e+00, -4.64862287e-02
-2.73831463e+00, -4.76942547e-02
-2.74422050e+00, -4.50151637e-02
-2.75354218e+00, -4.59674522e-02
-2.76118064e+00, -4.68968786e-02
-2.76754308e+00, -4.37994041e-02
-2.77694893e+00, -4.34589982e-02
-2.78287172e+00, -4.18659598e-02
-2.79115915e+00, -4.04286236e-02
-2.79867887e+00, -4.07085866e-02
-2.80537558e+00, -3.94155085e-02
-2.81418014e+00, -3.88562046e-02
-2.81940699e+00, -3.80963609e-02
-2.82866192e+00, -3.80918458e-02
-2.83412600e+00, -3.73384021e-02
-2.84235668e+00, -3.67042422e-02
-2.84858704e+00, -3.58663127e-02
-2.85570908e+00, -3.48243788e-02
-2.86259985e+00, -3.44071463e-02
