Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
76,1.47591,1.10557e+06,2.7493,1484.31,114.497,0,1488.72,0.689578,0.0636212,0,0.692507,141903,0.291889,335.003,1005.69,77.5774,0,1008.68
77,1.46732,1.09947e+06,2.7546,1477.02,110.931,0,1481.18,0.720966,0.066011,0,0.723981,140750,0.283599,334.228,1006.61,75.6011,0,1009.45
78,1.45843,1.09315e+06,2.7601,1469.47,107.265,0,1473.38,0.752358,0.0683362,0,0.755455,139561,0.275047,333.424,1007.57,73.5483,0,1010.25
79,1.44927,1.08662e+06,2.76582,1461.66,103.508,0,1465.32,0.783755,0.0705944,0,0.786928,138338,0.266248,332.592,1008.55,71.4206,0,1011.08
80,1.43983,1.07991e+06,2.77175,1453.61,99.6649,0,1457.02,0.815157,0.0727834,0,0.8184,137082,0.257215,331.732,1009.56,69.2197,0,1011.93
81,1.43015,1.07301e+06,2.77787,1445.31,95.7443,0,1448.47,0.846564,0.0749009,0,0.849871,135796,0.247964,330.846,1010.6,66.9472,0,1012.81
82,1.42022,1.06593e+06,2.78419,1436.78,91.753,0,1439.7,0.877976,0.0769448,0,0.881342,134482,0.23851,329.934,1011.66,64.6049,0,1013.72
83,1.41006,1.05869e+06,2.79071,1428.03,87.6983,0,1430.72,0.909393,0.0789131,0,0.91281,133142,0.228867,328.998,1012.74,62.1947,0,1014.65
84,1.39969,1.0513e+06,2.79741,1419.07,83.5876,0,1421.53,0.940814,0.0808038,0,0.944278,131777,0.21905,328.039,1013.84,59.7186,0,1015.6
85,1.38912,1.04375e+06,2.80429,1409.91,79.4281,0,1412.15,0.972241,0.082615,0,0.975744,130390,0.209076,327.057,1014.97,57.1786,0,1016.57
86,1.37837,1.03607e+06,2.81135,1400.57,75.227,0,1402.58,1.00367,0.0843449,0,1.00721,128984,0.198959,326.053,1016.1,54.5769,0,1017.57
87,1.36744,1.02827e+06,2.81858,1391.04,70.9917,0,1392.85,1.03511,0.0859917,0,1.03867,127560,0.188714,325.029,1017.26,51.9156,0,1018.58
88,1.35636,1.02034e+06,2.82597,1381.35,66.7291,0,1382.96,1.06655,0.0875537,0,1.07013,126120,0.178357,323.985,1018.42,49.197,0,1019.61
89,1.34514,1.01231e+06,2.83352,1371.51,62.4463,0,1372.93,1.09799,0.0890294,0,1.10159,124666,0.167902,322.923,1019.6,46.4236,0,1020.66
