[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-3.16613865e+00, 4.10687216e-02
-3.16837215e+00, 3.19720283e-02
-3.17053986e+00, 2.99431197e-02
-3.17250204e+00, 3.46584916e-02
-3.17288184e+00, 3.54453027e-02
-3.17410135e+00, 3.75085473e-02
-3.17563486e+00, 4.31757122e-02
-3.17566061e+00, 4.32953611e-02
-3.17756295e+00, 4.94773090e-02
-3.17941189e+00, 4.37359698e-02
-3.18120503e+00, 4.14829664e-02
-3.18294263e+00, 4.48951945e-02
-3.18432188e+00, 4.46551554e-02
-3.18512535e+00, 4.54432368e-02
-3.18565917e+00, 4.66726571e-02
-3.18706608e+00, 5.18399552e-02
-3.18862915e+00, 5.52715212e-02
-3.19014311e+00, 5.42968512e-02
-3.19161797e+00, 5.72374314e-02
-3.19306183e+00, 6.21397197e-02
-3.19447947e+00, 6.70017675e-02
-3.19588280e+00, 7.33344629e-02
-3.19725013e+00, 7.08050504e-02
-3.19846725e+00, 6.35052547e-02
-3.19968343e+00, 7.28840902e-02
-3.20105076e+00, 7.77512342e-02
-3.20216751e+00, 7.70927817e-02
-3.20301509e+00, 7.70774186e-02
-3.20420313e+00, 8.19612071e-02
-3.20491242e+00, 8.70333686e-02
-3.20594931e+00, 9.41644907e-02
-3.20680571e+00, 9.94010344e-02
-3.20768356e+00, 1.06242016e-01
-3.20865130e+00, 1.13275379e-01
-3.20934200e+00, 1.12721235e-01
-3.21039033e+00, 1.09229364e-01
-3.21127510e+00, 1.10858530e-01
-3.21173310e+00, 1.14186734e-01
-3.21191096e+00, 1.15640581e-01
-3.21275330e+00, 1.18778065e-01
-3.21335626e+00, 1.19049542e-01
-3.21444821e+00, 1.32055685e-01
-3.21522141e+00, 1.18153699e-01
-3.21637869e+00, 9.41550434e-02
-3.21723795e+00, 4.56553884e-02
-3.21805310e+00, -6.60984889e-02
-3.21917391e+00, -2.42894828e-01
-3.21990180e+00, -1.74107194e-01
-3.22065473e+00, 1.37562007e-01
-3.22111344e+00, 5.00156641e-01
-3.22146630e+00, 8.86574328e-01
-3.22155976e+00, 1.00339091e+00
-3.22161674e+00, 1.04475498e+00
-3.22151875e+00, 9.08924580e-01
-3.22127342e+00, 6.72318518e-01
-3.22062945e+00, 2.60223597e-01
-3.22007751e+00, 1.03260547e-01
-3.21917415e+00, 9.21241492e-02
-3.21816444e+00, 2.06072748e-01
-3.21717119e+00, 2.52636909e-01
-3.21626592e+00, 2.56527960e-01
-3.21555352e+00, 2.62152404e-01
-3.21434188e+00, 2.61169851e-01
-3.21370983e+00, 2.57807165e-01
-3.21299458e+00, 2.54824370e-01
-3.21284533e+00, 2.54590034e-01
-3.21222520e+00, 2.54630953e-01
-3.21170092e+00, 2.55300820e-01
-3.21119165e+00, 2.53430396e-01
-3.21085358e+00, 2.51183599e-01
-3.20996475e+00, 2.42517695e-01
-3.20900273e+00, 2.36575603e-01
-3.20826602e+00, 2.28260681e-01
-3.20774794e+00, 2.24515483e-01
-3.20762420e+00, 2.24007726e-01
